Date,PE,
23-09-2013,71.91,DLF
24-09-2013,71.25,DLF
25-09-2013,69.32,DLF
26-09-2013,68.74,DLF
27-09-2013,66.84,DLF
30-09-2013,59.42,DLF
01-10-2013,63.32,DLF
03-10-2013,64.3,DLF
04-10-2013,64.41,DLF
07-10-2013,63.79,DLF
08-10-2013,64.27,DLF
09-10-2013,67.98,DLF
10-10-2013,69.16,DLF
11-10-2013,71.38,DLF
14-10-2013,71.13,DLF
15-10-2013,70.99,DLF
17-10-2013,70.94,DLF
18-10-2013,72.7,DLF
21-10-2013,76.77,DLF
22-10-2013,75.96,DLF
23-10-2013,73.39,DLF
24-10-2013,73.65,DLF
25-10-2013,70.02,DLF
28-10-2013,67.68,DLF
29-10-2013,69.37,DLF
30-10-2013,69.02,DLF
31-10-2013,70.18,DLF
01-11-2013,72.79,DLF
03-11-2013,72.86,DLF
05-11-2013,74.36,DLF
06-11-2013,72.1,DLF
07-11-2013,68.81,DLF
08-11-2013,70.57,DLF
11-11-2013,68.54,DLF
12-11-2013,66.92,DLF
13-11-2013,65.97,DLF
14-11-2013,67.33,DLF
18-11-2013,68.84,DLF
19-11-2013,69.21,DLF
20-11-2013,69.48,DLF
21-11-2013,67.24,DLF
22-11-2013,66.8,DLF
25-11-2013,68.93,DLF
26-11-2013,69.14,DLF
27-11-2013,68.21,DLF
28-11-2013,69.14,DLF
29-11-2013,70.39,DLF
02-12-2013,70.63,DLF
03-12-2013,72.16,DLF
04-12-2013,70.87,DLF
05-12-2013,72.21,DLF
06-12-2013,72.09,DLF
09-12-2013,76.42,DLF
10-12-2013,74.2,DLF
11-12-2013,72.62,DLF
12-12-2013,72.28,DLF
13-12-2013,69.78,DLF
16-12-2013,70.45,DLF
17-12-2013,70.29,DLF
18-12-2013,74.17,DLF
19-12-2013,73.41,DLF
20-12-2013,75.35,DLF
23-12-2013,78.64,DLF
24-12-2013,79.08,DLF
26-12-2013,78.87,DLF
27-12-2013,79.22,DLF
30-12-2013,77,DLF
31-12-2013,45.89,DLF
01-01-2014,46.82,DLF
02-01-2014,45.79,DLF
03-01-2014,46.36,DLF
06-01-2014,45.85,DLF
07-01-2014,45.01,DLF
08-01-2014,44.61,DLF
09-01-2014,43.7,DLF
10-01-2014,43.02,DLF
13-01-2014,44.21,DLF
14-01-2014,43.18,DLF
15-01-2014,43.92,DLF
16-01-2014,44.47,DLF
17-01-2014,42.71,DLF
20-01-2014,42.81,DLF
21-01-2014,43.22,DLF
22-01-2014,43.58,DLF
23-01-2014,43.69,DLF
24-01-2014,42,DLF
27-01-2014,38.5,DLF
28-01-2014,38.85,DLF
29-01-2014,38.78,DLF
30-01-2014,37.04,DLF
31-01-2014,37.74,DLF
03-02-2014,36.87,DLF
04-02-2014,36.93,DLF
05-02-2014,37.92,DLF
06-02-2014,37.22,DLF
07-02-2014,37.92,DLF
10-02-2014,39.03,DLF
11-02-2014,38.63,DLF
12-02-2014,38.47,DLF
13-02-2014,39.22,DLF
14-02-2014,39.71,DLF
17-02-2014,39.31,DLF
18-02-2014,39.2,DLF
19-02-2014,39.36,DLF
20-02-2014,39.49,DLF
21-02-2014,39.17,DLF
24-02-2014,39.28,DLF
25-02-2014,38.94,DLF
26-02-2014,38.5,DLF
28-02-2014,38.7,DLF
03-03-2014,38.21,DLF
04-03-2014,38.48,DLF
05-03-2014,39.79,DLF
06-03-2014,41.78,DLF
07-03-2014,45.9,DLF
10-03-2014,47.18,DLF
11-03-2014,49.04,DLF
12-03-2014,49.24,DLF
13-03-2014,46.32,DLF
14-03-2014,48.1,DLF
18-03-2014,47.73,DLF
19-03-2014,47.8,DLF
20-03-2014,45.97,DLF
21-03-2014,47.07,DLF
22-03-2014,46.91,DLF
24-03-2014,47.2,DLF
25-03-2014,48.8,DLF
26-03-2014,48.14,DLF
27-03-2014,47.97,DLF
28-03-2014,48.41,DLF
31-03-2014,36.15,DLF
01-04-2014,35.82,DLF
02-04-2014,36.12,DLF
03-04-2014,35.16,DLF
04-04-2014,36.07,DLF
07-04-2014,35,DLF
09-04-2014,36.15,DLF
10-04-2014,36.53,DLF
11-04-2014,36.09,DLF
15-04-2014,33.96,DLF
16-04-2014,32.34,DLF
17-04-2014,32.66,DLF
21-04-2014,32.31,DLF
22-04-2014,32.14,DLF
23-04-2014,31.2,DLF
25-04-2014,31.46,DLF
28-04-2014,31.53,DLF
29-04-2014,31.42,DLF
30-04-2014,28.7,DLF
02-05-2014,28.61,DLF
05-05-2014,28.45,DLF
06-05-2014,28.73,DLF
07-05-2014,28.69,DLF
08-05-2014,28.55,DLF
09-05-2014,29.61,DLF
12-05-2014,29.91,DLF
13-05-2014,31.12,DLF
14-05-2014,32.86,DLF
15-05-2014,32.75,DLF
16-05-2014,34.72,DLF
19-05-2014,37.34,DLF
20-05-2014,37.69,DLF
21-05-2014,39.41,DLF
22-05-2014,43.15,DLF
23-05-2014,44.32,DLF
26-05-2014,41.82,DLF
27-05-2014,41.85,DLF
28-05-2014,42.1,DLF
29-05-2014,41.7,DLF
30-05-2014,42.94,DLF
02-06-2014,42.88,DLF
03-06-2014,44.97,DLF
04-06-2014,44.87,DLF
05-06-2014,44.95,DLF
06-06-2014,47.7,DLF
09-06-2014,49.38,DLF
10-06-2014,47.72,DLF
11-06-2014,45.2,DLF
12-06-2014,45.75,DLF
13-06-2014,41.99,DLF
16-06-2014,43.04,DLF
17-06-2014,43.5,DLF
18-06-2014,42.49,DLF
19-06-2014,42.35,DLF
20-06-2014,42.57,DLF
23-06-2014,42.88,DLF
24-06-2014,44.87,DLF
25-06-2014,44.44,DLF
26-06-2014,43.05,DLF
27-06-2014,43.21,DLF
30-06-2014,50.73,DLF
01-07-2014,51.12,DLF
02-07-2014,51.65,DLF
03-07-2014,50.98,DLF
04-07-2014,51.67,DLF
07-07-2014,52.71,DLF
08-07-2014,48.61,DLF
09-07-2014,48.16,DLF
10-07-2014,52.6,DLF
11-07-2014,49.45,DLF
14-07-2014,49.03,DLF
15-07-2014,50.31,DLF
16-07-2014,53.24,DLF
17-07-2014,52.46,DLF
18-07-2014,52.15,DLF
21-07-2014,50.72,DLF
22-07-2014,51.18,DLF
23-07-2014,50.72,DLF
24-07-2014,50.6,DLF
25-07-2014,48.33,DLF
28-07-2014,45.9,DLF
30-07-2014,47.27,DLF
31-07-2014,46.85,DLF
01-08-2014,47.37,DLF
04-08-2014,47.54,DLF
05-08-2014,48.53,DLF
06-08-2014,47.82,DLF
07-08-2014,47.92,DLF
08-08-2014,45.94,DLF
11-08-2014,47.05,DLF
12-08-2014,47.76,DLF
13-08-2014,45.86,DLF
14-08-2014,46.38,DLF
18-08-2014,46.78,DLF
19-08-2014,47.28,DLF
20-08-2014,47.51,DLF
21-08-2014,46.43,DLF
22-08-2014,46,DLF
25-08-2014,45.08,DLF
26-08-2014,45.24,DLF
27-08-2014,43.23,DLF
28-08-2014,41.95,DLF
01-09-2014,42.51,DLF
02-09-2014,43.46,DLF
03-09-2014,43.23,DLF
04-09-2014,39.51,DLF
05-09-2014,41.42,DLF
08-09-2014,41.73,DLF
09-09-2014,41.14,DLF
10-09-2014,41.73,DLF
11-09-2014,41.38,DLF
12-09-2014,41.54,DLF
15-09-2014,41,DLF
16-09-2014,39.76,DLF
17-09-2014,39.94,DLF
18-09-2014,41.4,DLF
19-09-2014,40.61,DLF
22-09-2014,39.36,DLF
23-09-2014,36.8,DLF
24-09-2014,37.72,DLF
25-09-2014,36.8,DLF
26-09-2014,38.3,DLF
29-09-2014,37.41,DLF
30-09-2014,27.29,DLF
01-10-2014,27.21,DLF
07-10-2014,25.7,DLF
08-10-2014,26.92,DLF
09-10-2014,27.63,DLF
10-10-2014,27.56,DLF
13-10-2014,26.54,DLF
14-10-2014,18.99,DLF
16-10-2014,19.96,DLF
17-10-2014,20.03,DLF
20-10-2014,20.87,DLF
21-10-2014,21.97,DLF
22-10-2014,21.75,DLF
23-10-2014,21.69,DLF
27-10-2014,19.99,DLF
28-10-2014,20.14,DLF
29-10-2014,21.37,DLF
30-10-2014,22.42,DLF
31-10-2014,22.52,DLF
03-11-2014,23.25,DLF
05-11-2014,22.91,DLF
07-11-2014,24.34,DLF
10-11-2014,24.53,DLF
11-11-2014,24.72,DLF
12-11-2014,25.27,DLF
13-11-2014,25.13,DLF
14-11-2014,25.65,DLF
17-11-2014,25.28,DLF
18-11-2014,25.19,DLF
19-11-2014,25.51,DLF
20-11-2014,25.07,DLF
21-11-2014,25.38,DLF
24-11-2014,26.61,DLF
25-11-2014,25.64,DLF
26-11-2014,27.49,DLF
27-11-2014,26.8,DLF
28-11-2014,27.02,DLF
01-12-2014,27.81,DLF
02-12-2014,27.76,DLF
03-12-2014,28.13,DLF
04-12-2014,27.91,DLF
05-12-2014,29.22,DLF
08-12-2014,28.97,DLF
09-12-2014,28.8,DLF
10-12-2014,28.95,DLF
11-12-2014,28.25,DLF
12-12-2014,27.54,DLF
15-12-2014,26.21,DLF
16-12-2014,25.21,DLF
17-12-2014,24.22,DLF
18-12-2014,24.6,DLF
19-12-2014,23.88,DLF
22-12-2014,24.2,DLF
23-12-2014,24.12,DLF
24-12-2014,23.82,DLF
26-12-2014,24.6,DLF
29-12-2014,24.58,DLF
30-12-2014,24.53,DLF
31-12-2014,25.62,DLF
01-01-2015,25.65,DLF
02-01-2015,26,DLF
05-01-2015,25.37,DLF
06-01-2015,24.94,DLF
07-01-2015,25.11,DLF
08-01-2015,26.62,DLF
09-01-2015,25.75,DLF
12-01-2015,25.53,DLF
13-01-2015,24.89,DLF
14-01-2015,24.91,DLF
15-01-2015,27.49,DLF
16-01-2015,27.29,DLF
19-01-2015,27.13,DLF
20-01-2015,27.2,DLF
21-01-2015,26.86,DLF
22-01-2015,27.75,DLF
23-01-2015,29.18,DLF
27-01-2015,29.53,DLF
28-01-2015,30.44,DLF
29-01-2015,31.03,DLF
30-01-2015,31.72,DLF
02-02-2015,32.22,DLF
03-02-2015,31.73,DLF
04-02-2015,32.34,DLF
05-02-2015,31.63,DLF
06-02-2015,30.6,DLF
09-02-2015,29.38,DLF
10-02-2015,29.5,DLF
11-02-2015,29.64,DLF
12-02-2015,29.68,DLF
13-02-2015,28.98,DLF
16-02-2015,29.07,DLF
18-02-2015,27.95,DLF
19-02-2015,28.05,DLF
20-02-2015,28.26,DLF
23-02-2015,27.34,DLF
24-02-2015,27.4,DLF
25-02-2015,27.58,DLF
26-02-2015,28.07,DLF
27-02-2015,29.09,DLF
28-02-2015,29.03,DLF
02-03-2015,28.87,DLF
03-03-2015,28.24,DLF
04-03-2015,28.79,DLF
05-03-2015,28.69,DLF
09-03-2015,28.18,DLF
10-03-2015,27.01,DLF
11-03-2015,26.99,DLF
12-03-2015,27.82,DLF
13-03-2015,29.42,DLF
16-03-2015,30.68,DLF
17-03-2015,30.75,DLF
18-03-2015,30.74,DLF
19-03-2015,30.65,DLF
20-03-2015,29.89,DLF
23-03-2015,29.79,DLF
24-03-2015,29.89,DLF
25-03-2015,30.74,DLF
26-03-2015,29.72,DLF
27-03-2015,28.92,DLF
30-03-2015,29.79,DLF
31-03-2015,30.03,DLF
01-04-2015,30.29,DLF
06-04-2015,31.75,DLF
07-04-2015,30.8,DLF
08-04-2015,30.75,DLF
09-04-2015,30.24,DLF
10-04-2015,30.1,DLF
13-04-2015,29.81,DLF
15-04-2015,29.17,DLF
16-04-2015,28.5,DLF
17-04-2015,27.95,DLF
20-04-2015,27.76,DLF
21-04-2015,26.43,DLF
22-04-2015,26.02,DLF
23-04-2015,25.9,DLF
24-04-2015,24.91,DLF
27-04-2015,23.56,DLF
28-04-2015,24.3,DLF
29-04-2015,25.36,DLF
30-04-2015,25.87,DLF
04-05-2015,26.25,DLF
05-05-2015,26.44,DLF
06-05-2015,25.03,DLF
07-05-2015,24.46,DLF
08-05-2015,25.24,DLF
11-05-2015,24.72,DLF
12-05-2015,23.81,DLF
13-05-2015,23.72,DLF
14-05-2015,24.09,DLF
15-05-2015,23.69,DLF
18-05-2015,23.29,DLF
19-05-2015,23.57,DLF
20-05-2015,23.41,DLF
21-05-2015,23.58,DLF
22-05-2015,23.38,DLF
25-05-2015,23.1,DLF
26-05-2015,22.22,DLF
27-05-2015,22.64,DLF
28-05-2015,22.61,DLF
29-05-2015,22.37,DLF
01-06-2015,22.43,DLF
02-06-2015,21.46,DLF
03-06-2015,20.93,DLF
04-06-2015,21.09,DLF
05-06-2015,20.36,DLF
08-06-2015,20.83,DLF
09-06-2015,20.99,DLF
10-06-2015,21.26,DLF
11-06-2015,20.48,DLF
12-06-2015,20.42,DLF
15-06-2015,20.51,DLF
16-06-2015,20.48,DLF
17-06-2015,20.61,DLF
18-06-2015,20.3,DLF
19-06-2015,20.23,DLF
22-06-2015,21.76,DLF
23-06-2015,22.3,DLF
24-06-2015,21.72,DLF
25-06-2015,22.41,DLF
26-06-2015,22.79,DLF
29-06-2015,22.16,DLF
30-06-2015,25.76,DLF
01-07-2015,25.82,DLF
02-07-2015,25.72,DLF
03-07-2015,25.56,DLF
06-07-2015,25.9,DLF
07-07-2015,26.19,DLF
08-07-2015,25.69,DLF
09-07-2015,25.75,DLF
10-07-2015,25.25,DLF
13-07-2015,25.4,DLF
14-07-2015,25.23,DLF
15-07-2015,25.71,DLF
16-07-2015,25.58,DLF
17-07-2015,25.16,DLF
20-07-2015,23.93,DLF
21-07-2015,23.54,DLF
22-07-2015,23.47,DLF
23-07-2015,23.76,DLF
24-07-2015,22.7,DLF
27-07-2015,22.3,DLF
28-07-2015,21.1,DLF
29-07-2015,22.35,DLF
30-07-2015,24.09,DLF
31-07-2015,25.29,DLF
03-08-2015,25.55,DLF
04-08-2015,25.37,DLF
05-08-2015,26.88,DLF
06-08-2015,26.99,DLF
07-08-2015,27.7,DLF
10-08-2015,28.24,DLF
11-08-2015,27.39,DLF
12-08-2015,25.82,DLF
13-08-2015,25.13,DLF
14-08-2015,29.72,DLF
17-08-2015,28.48,DLF
18-08-2015,28.21,DLF
19-08-2015,27.92,DLF
20-08-2015,26.48,DLF
21-08-2015,25.13,DLF
24-08-2015,21.22,DLF
25-08-2015,24.79,DLF
26-08-2015,24.38,DLF
27-08-2015,25.22,DLF
28-08-2015,25.35,DLF
31-08-2015,24.42,DLF
01-09-2015,23.36,DLF
02-09-2015,24.15,DLF
03-09-2015,26.59,DLF
04-09-2015,25.69,DLF
07-09-2015,24.82,DLF
08-09-2015,26.54,DLF
09-09-2015,26.97,DLF
10-09-2015,27.24,DLF
11-09-2015,27.41,DLF
14-09-2015,27.78,DLF
15-09-2015,27.11,DLF
16-09-2015,27.24,DLF
18-09-2015,27.79,DLF
21-09-2015,28.14,DLF
22-09-2015,27.44,DLF
23-09-2015,28.04,DLF
24-09-2015,27.84,DLF
28-09-2015,28.48,DLF
29-09-2015,29.67,DLF
30-09-2015,27.41,DLF
01-10-2015,26.77,DLF
05-10-2015,26.91,DLF
06-10-2015,27.1,DLF
07-10-2015,27.7,DLF
08-10-2015,27.73,DLF
09-10-2015,27.96,DLF
12-10-2015,27.21,DLF
13-10-2015,27.39,DLF
14-10-2015,26.75,DLF
15-10-2015,26.91,DLF
16-10-2015,25.62,DLF
19-10-2015,26.46,DLF
20-10-2015,26.34,DLF
21-10-2015,25.78,DLF
23-10-2015,25.97,DLF
26-10-2015,25.81,DLF
27-10-2015,25.43,DLF
28-10-2015,24.8,DLF
29-10-2015,24.1,DLF
30-10-2015,23.32,DLF
02-11-2015,23.73,DLF
03-11-2015,24.03,DLF
04-11-2015,24.43,DLF
05-11-2015,23.24,DLF
06-11-2015,23.69,DLF
09-11-2015,22.76,DLF
10-11-2015,21.76,DLF
11-11-2015,22.4,DLF
13-11-2015,22.05,DLF
16-11-2015,22,DLF
17-11-2015,22.33,DLF
18-11-2015,21.3,DLF
19-11-2015,20.73,DLF
20-11-2015,20.48,DLF
23-11-2015,20.63,DLF
24-11-2015,21.4,DLF
26-11-2015,22.69,DLF
27-11-2015,22.82,DLF
30-11-2015,23.04,DLF
01-12-2015,23.56,DLF
02-12-2015,23.4,DLF
03-12-2015,23.73,DLF
04-12-2015,23.44,DLF
07-12-2015,23.32,DLF
08-12-2015,22.09,DLF
09-12-2015,22.11,DLF
10-12-2015,22.32,DLF
11-12-2015,21.64,DLF
14-12-2015,21.42,DLF
15-12-2015,21.68,DLF
16-12-2015,22.59,DLF
17-12-2015,23.06,DLF
18-12-2015,22.92,DLF
21-12-2015,23.22,DLF
22-12-2015,22.68,DLF
23-12-2015,23.22,DLF
24-12-2015,22.86,DLF
28-12-2015,23,DLF
29-12-2015,22.76,DLF
30-12-2015,22.79,DLF
31-12-2015,51.88,DLF
01-01-2016,54.31,DLF
04-01-2016,52.86,DLF
05-01-2016,52.97,DLF
06-01-2016,51.25,DLF
07-01-2016,47.83,DLF
08-01-2016,50.11,DLF
11-01-2016,50.09,DLF
12-01-2016,49.01,DLF
13-01-2016,49.24,DLF
14-01-2016,47.32,DLF
15-01-2016,44.57,DLF
18-01-2016,43,DLF
19-01-2016,42.96,DLF
20-01-2016,41.26,DLF
21-01-2016,40.97,DLF
22-01-2016,42.29,DLF
25-01-2016,41.84,DLF
27-01-2016,42.78,DLF
28-01-2016,42.31,DLF
29-01-2016,43.11,DLF
01-02-2016,43.27,DLF
02-02-2016,41.75,DLF
03-02-2016,41.82,DLF
04-02-2016,42.29,DLF
05-02-2016,42.87,DLF
08-02-2016,43.18,DLF
09-02-2016,42.73,DLF
10-02-2016,40.45,DLF
11-02-2016,36.36,DLF
12-02-2016,36.09,DLF
15-02-2016,40.05,DLF
16-02-2016,38.42,DLF
17-02-2016,39.58,DLF
18-02-2016,38.77,DLF
19-02-2016,39.45,DLF
22-02-2016,39.83,DLF
23-02-2016,38.01,DLF
24-02-2016,37.97,DLF
25-02-2016,37.34,DLF
26-02-2016,39.02,DLF
29-02-2016,39.83,DLF
01-03-2016,43.78,DLF
02-03-2016,48.05,DLF
03-03-2016,47.45,DLF
04-03-2016,48.27,DLF
08-03-2016,47.89,DLF
09-03-2016,48.06,DLF
