Title,Author,Rating
The Scarlet Letter,Nathaniel Hawthorne,"3.43 avg rating — 836,805 ratings"
Beowulf,Unknown,"3.47 avg rating — 293,202 ratings"
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 215,809 ratings"
"Moby-Dick or, the Whale",Herman Melville,"3.54 avg rating — 542,329 ratings"
Heart of Darkness,Joseph Conrad,"3.43 avg rating — 494,482 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"3.54 avg rating — 591,387 ratings"
Gulliver's Travels,Jonathan Swift,"3.58 avg rating — 266,542 ratings"
Death of a Salesman,Arthur  Miller,"3.56 avg rating — 225,242 ratings"
The Casual Vacancy,J.K. Rowling,"3.30 avg rating — 325,212 ratings"
Naked Lunch,William S. Burroughs,"3.46 avg rating — 88,778 ratings"
"The Magicians (The Magicians, #1)",Lev Grossman,"3.53 avg rating — 257,812 ratings"
Lady Chatterley's Lover,D.H. Lawrence,"3.50 avg rating — 120,898 ratings"
Confessions of an Ugly Stepsister,Gregory Maguire,"3.54 avg rating — 59,553 ratings"
The Merry Wives of Windsor,William Shakespeare,"3.55 avg rating — 12,728 ratings"
Utopia,Thomas More,"3.55 avg rating — 71,832 ratings"
A Separate Peace,John Knowles,"3.59 avg rating — 213,859 ratings"
The Tommyknockers,Stephen King,"3.59 avg rating — 147,248 ratings"
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,"3.59 avg rating — 1,840,600 ratings"
The House of the Seven Gables,Nathaniel Hawthorne,"3.45 avg rating — 38,610 ratings"
The Turn of the Screw,Henry James,"3.39 avg rating — 145,944 ratings"
Hard Times,Charles Dickens,"3.54 avg rating — 66,105 ratings"
Ethan Frome,Edith Wharton,"3.43 avg rating — 123,021 ratings"
"The Dante Club (The Dante Club, #1)",Matthew Pearl,"3.41 avg rating — 40,669 ratings"
Daisy Miller,Henry James,"3.38 avg rating — 32,984 ratings"
The Pearl,John Steinbeck,"3.52 avg rating — 227,535 ratings"
Jacob's Room,Virginia Woolf,"3.53 avg rating — 11,017 ratings"
The Rehearsal,Eleanor Catton,"3.44 avg rating — 5,523 ratings"
The Particular Sadness of Lemon Cake,Aimee Bender,"3.24 avg rating — 64,708 ratings"
The Faerie Queene,Edmund Spenser,"3.58 avg rating — 16,435 ratings"
"Spirit Gate (Crossroads, #1)",Kate Elliott,"3.59 avg rating — 3,905 ratings"
"Titus Alone (Gormenghast, #3)",Mervyn Peake,"3.45 avg rating — 5,305 ratings"
Troilus and Cressida,William Shakespeare,"3.41 avg rating — 11,038 ratings"
"Reached (Matched, #3)",Ally Condie,"3.55 avg rating — 162,613 ratings"
The Little Friend,Donna Tartt,"3.47 avg rating — 65,720 ratings"
The Marriage Plot,Jeffrey Eugenides,"3.46 avg rating — 119,397 ratings"
Scarlett,Alexandra Ripley,"3.61 avg rating — 61,410 ratings"
"Billy Budd, Sailor",Herman Melville,"3.16 avg rating — 17,398 ratings"
Moo,Jane Smiley,"3.47 avg rating — 8,181 ratings"
The Other Typist,Suzanne Rindell,"3.55 avg rating — 18,674 ratings"
"Shaman's Crossing (Soldier Son, #1)",Robin Hobb,"3.50 avg rating — 22,950 ratings"
The Red Pony,John Steinbeck,"3.47 avg rating — 53,575 ratings"
An Abundance of Katherines,John Green,"3.52 avg rating — 519,034 ratings"
"Son of a Witch (The Wicked Years, #2)",Gregory Maguire,"3.49 avg rating — 61,574 ratings"
The Piano Teacher,Elfriede Jelinek,"3.57 avg rating — 12,006 ratings"
The Tiger's Wife,Téa Obreht,"3.42 avg rating — 98,497 ratings"
Skipping Christmas,John Grisham,"3.54 avg rating — 71,456 ratings"
The Red Badge of Courage,Stephen Crane,"3.28 avg rating — 102,043 ratings"
The Playboy of the Western World,J.M. Synge,"3.55 avg rating — 5,060 ratings"
Snow,Orhan Pamuk,"3.61 avg rating — 45,596 ratings"
The Interestings,Meg Wolitzer,"3.59 avg rating — 116,543 ratings"
The Tailor of Panama,John le Carré,"3.51 avg rating — 8,811 ratings"
Across Five Aprils,Irene Hunt,"3.56 avg rating — 13,976 ratings"
Three Junes,Julia Glass,"3.57 avg rating — 44,364 ratings"
"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",Stephenie Meyer,"3.51 avg rating — 214,038 ratings"
The Yonahlossee Riding Camp for Girls,Anton DiSclafani,"3.35 avg rating — 21,143 ratings"
Benighted,Kit Whitfield,"3.46 avg rating — 1,116 ratings"
